"HS2","HS2 ID","Section","Section ID","Trade Value","Year"
"Headgear",1265,"Footwear and Headwear",12,13160414,2014
"Umbrellas, walking sticks, & whips",1266,"Footwear and Headwear",12,10108510,2014
"Feather articles, feathers, artificial flowers, & articles of human hair",1267,"Footwear and Headwear",12,25551490,2014
"Stone, plaster, cement, asbestos, mica.",1368,"Stone And Glass",13,50082719,2014
"Ceramic products",1369,"Stone And Glass",13,198776847,2014
"Glass & glassware",1370,"Stone And Glass",13,124438643,2014
"Precious stones, metals, & pearls",1471,"Precious Metals",14,20434614,2014
"Iron & steel",1572,"Metals",15,761298200,2014
"Iron or steel articles",1573,"Metals",15,396644653,2014
"Copper articles",1574,"Metals",15,30894016,2014
"Nickel articles",1575,"Metals",15,955867,2014
"Aluminum articles",1576,"Metals",15,165982873,2014
"Lead articles",1578,"Metals",15,1183990,2014
"Zinc articles",1579,"Metals",15,35730525,2014
"Tin articles",1580,"Metals",15,1238150,2014
"Cermet articles",1581,"Metals",15,460262,2014
"Tools & cutlery",1582,"Metals",15,87605099,2014
"Miscellaneous metal products",1583,"Metals",15,101834537,2014
"Machinery, mechanical appliances, & parts",1684,"Machines",16,1733977840,2014
"Electrical machinery and electronics",1685,"Machines",16,1391334013,2014
"Railway and trams",1786,"Transportation",17,20931366,2014
"Cars, tractors, trucks & parts thereof.",1787,"Transportation",17,1643824023,2014
"Aircraft and spacecraft",1788,"Transportation",17,88691819,2014
"Ships, boats, & floating structures",1789,"Transportation",17,6994095,2014
"Optical, photo, & film equipment; medical instruments",1890,"Instruments",18,217506629,2014
"Clocks, watches, & parts",1891,"Instruments",18,8374272,2014
"Musical instruments",1892,"Instruments",18,1527531,2014
"Weapons",1993,"Weapons",19,3916617,2014
"Furniture, bedding, lamps, & prefab buildings",2094,"Miscellaneous",20,362421308,2014
"Toys, games, & sports",2095,"Miscellaneous",20,22944308,2014
"Misc. manufactures",2096,"Miscellaneous",20,63806268,2014
"Art & antiques",2197,"Arts and Antiques",21,1244157,2014
"Live animals",101,"Animal Products",1,8654702,2015
"Meat & edible offal",102,"Animal Products",1,4936273,2015
"Fish, crustaceans, & molluscs",103,"Animal Products",1,33034778,2015
"Edible products of animal origin, n.e.s.",104,"Animal Products",1,61350831,2015
"Animal originated products, n.e.s.",105,"Animal Products",1,1819215,2015
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Vegetable Products",2,7630148,2015
"Edible vegetables, roots, & tubers",207,"Vegetable Products",2,131069117,2015
"Edible fruits, nuts & fruit peels",208,"Vegetable Products",2,38406227,2015
"Coffee, tea, mate & spices",209,"Vegetable Products",2,130248236,2015
"Cereals",210,"Vegetable Products",2,588322972,2015
"Products of the milling industry",211,"Vegetable Products",2,30407954,2015
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Vegetable Products",2,50674116,2015
"Natural gums, resins & other vegetable extracts",213,"Vegetable Products",2,3990131,2015
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Products",2,1423904,2015
"Animal or vegetable fats, oils, & waxes",315,"Animal and Vegetable Bi-Products",3,406260570,2015
"Preparations of fish, crustacenas, & molluscs",416,"Foodstuffs",4,11898045,2015
"Sugars & confectioneries",417,"Foodstuffs",4,150900918,2015
"Cocoa & cocoa preparations",418,"Foodstuffs",4,16437665,2015
"Preparations of cereals, flour, starch or milk",419,"Foodstuffs",4,93919027,2015
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Foodstuffs",4,27659458,2015
"Miscellaneous edible preparations",421,"Foodstuffs",4,72571517,2015
"Beverages, spirits, & vinegar",422,"Foodstuffs",4,78678301,2015
"Food residues & wastes; animal fodder",423,"Foodstuffs",4,54789263,2015
"Tobacco & substitutes",424,"Foodstuffs",4,48541700,2015
"Salt, sulphur, cement, lime, stone, & plaster",525,"Mineral Products",5,132956795,2015
"Ores, slag and ash",526,"Mineral Products",5,12936243,2015
"Mineral fuels, mineral oils and products of their distillation",527,"Mineral Products",5,3065590006,2015
"Inorganic chemicals",628,"Chemical Products",6,146695173,2015
"Organic chemicals",629,"Chemical Products",6,165071753,2015
"Pharmaceutical products",630,"Chemical Products",6,602555573,2015
"Fertilizers",631,"Chemical Products",6,254281307,2015
"Paints, dyes, & varnishes",632,"Chemical Products",6,106487661,2015
"Perfumery & cosmetics",633,"Chemical Products",6,149488790,2015
"Soap, cleaners, candles, dental, modelling pastes",634,"Chemical Products",6,82236100,2015
"Glues, starches, & albuminoid products",635,"Chemical Products",6,25540641,2015
"Explosives, matches, & fireworks",636,"Chemical Products",6,11678031,2015
"Photo & movie goods",637,"Chemical Products",6,9607291,2015
"Chemical products n.e.s.",638,"Chemical Products",6,282537110,2015
"Plastics & articles thereof",739,"Plastics and Rubbers",7,877573177,2015
"Rubber & articles thereof",740,"Plastics and Rubbers",7,228716277,2015
"Raw hides & skin (non-fur)",841,"Animal Hides",8,7547849,2015
"Leather articles",842,"Animal Hides",8,64525939,2015
"Furskins, articifial fur, & articles",843,"Animal Hides",8,13970,2015
"Wood, wood articles, & charcoal",944,"Wood Products",9,83202837,2015
"Cork & cork articles",945,"Wood Products",9,173626,2015
"Straw & esparto manufactures",946,"Wood Products",9,714851,2015
"Wood pulp & paper scrap",1047,"Paper Goods",10,2324667,2015
"Paper articles",1048,"Paper Goods",10,456293433,2015
"Books, newspapers, & other prints",1049,"Paper Goods",10,47901806,2015
"Silk",1150,"Textiles",11,386941,2015
"Wool & animal hair",1151,"Textiles",11,630445,2015
"Cotton",1152,"Textiles",11,158533083,2015
"Vegetable textile fibers, paper yarn & fabrics",1153,"Textiles",11,18006514,2015
"Man-made filaments",1154,"Textiles",11,132146367,2015
"Man-made staple fibres",1155,"Textiles",11,168821375,2015
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Textiles",11,34174230,2015
"Carpets & textile floor covers",1157,"Textiles",11,19060570,2015
"Special woven fabrics and tapestries",1158,"Textiles",11,16080209,2015
"Coated, covered, & laminated fabrics for industrial use",1159,"Textiles",11,23998158,2015
"Knitted fabrics",1160,"Textiles",11,100742290,2015
"Knitted clothing accesories",1161,"Textiles",11,277116888,2015
"Non-knitted clothing accesories",1162,"Textiles",11,323951653,2015
"Used clothes & textile articles",1163,"Textiles",11,295639697,2015
"Footwear",1264,"Footwear and Headwear",12,196216091,2015
"Headgear",1265,"Footwear and Headwear",12,11627226,2015
"Umbrellas, walking sticks, & whips",1266,"Footwear and Headwear",12,15267041,2015
"Feather articles, feathers, artificial flowers, & articles of human hair",1267,"Footwear and Headwear",12,22681880,2015
"Stone, plaster, cement, asbestos, mica.",1368,"Stone And Glass",13,48355651,2015
"Ceramic products",1369,"Stone And Glass",13,178931042,2015
"Glass & glassware",1370,"Stone And Glass",13,130309678,2015
"Precious stones, metals, & pearls",1471,"Precious Metals",14,28375960,2015
"Iron & steel",1572,"Metals",15,784797824,2015
"Iron or steel articles",1573,"Metals",15,536492534,2015
"Copper articles",1574,"Metals",15,53547519,2015
"Nickel articles",1575,"Metals",15,1071663,2015
"Aluminum articles",1576,"Metals",15,194817988,2015
"Lead articles",1578,"Metals",15,2550593,2015
"Zinc articles",1579,"Metals",15,32985231,2015
"Tin articles",1580,"Metals",15,406058,2015
"Cermet articles",1581,"Metals",15,868957,2015
"Tools & cutlery",1582,"Metals",15,74622631,2015
"Miscellaneous metal products",1583,"Metals",15,104259424,2015
"Machinery, mechanical appliances, & parts",1684,"Machines",16,1838903565,2015
"Electrical machinery and electronics",1685,"Machines",16,1614159919,2015
"Railway and trams",1786,"Transportation",17,138773263,2015
"Cars, tractors, trucks & parts thereof.",1787,"Transportation",17,1796081996,2015
"Aircraft and spacecraft",1788,"Transportation",17,855680637,2015
"Ships, boats, & floating structures",1789,"Transportation",17,40270967,2015
"Optical, photo, & film equipment; medical instruments",1890,"Instruments",18,307050189,2015
"Clocks, watches, & parts",1891,"Instruments",18,9046896,2015
"Musical instruments",1892,"Instruments",18,3579839,2015
"Weapons",1993,"Weapons",19,28508504,2015
"Furniture, bedding, lamps, & prefab buildings",2094,"Miscellaneous",20,340666807,2015
"Toys, games, & sports",2095,"Miscellaneous",20,31343999,2015
"Misc. manufactures",2096,"Miscellaneous",20,69367663,2015
"Art & antiques",2197,"Arts and Antiques",21,740619,2015
"Live animals",101,"Animal Products",1,4511520,2016
"Meat & edible offal",102,"Animal Products",1,5358146,2016
"Fish, crustaceans, & molluscs",103,"Animal Products",1,39026814,2016
"Edible products of animal origin, n.e.s.",104,"Animal Products",1,53340811,2016
"Animal originated products, n.e.s.",105,"Animal Products",1,1547582,2016
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Vegetable Products",2,6491035,2016
"Edible vegetables, roots, & tubers",207,"Vegetable Products",2,74601769,2016
"Edible fruits, nuts & fruit peels",208,"Vegetable Products",2,32377112,2016
"Coffee, tea, mate & spices",209,"Vegetable Products",2,91044764,2016
"Cereals",210,"Vegetable Products",2,539330822,2016
"Products of the milling industry",211,"Vegetable Products",2,23928914,2016
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Vegetable Products",2,34067873,2016
"Natural gums, resins & other vegetable extracts",213,"Vegetable Products",2,4124622,2016
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Products",2,1008302,2016
"Animal or vegetable fats, oils, & waxes",315,"Animal and Vegetable Bi-Products",3,421056992,2016
"Preparations of fish, crustacenas, & molluscs",416,"Foodstuffs",4,16360254.000000002,2016
"Sugars & confectioneries",417,"Foodstuffs",4,216750150,2016
"Cocoa & cocoa preparations",418,"Foodstuffs",4,15784172,2016
"Preparations of cereals, flour, starch or milk",419,"Foodstuffs",4,79957698,2016
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Foodstuffs",4,24104592,2016
"Miscellaneous edible preparations",421,"Foodstuffs",4,67267499,2016
"Beverages, spirits, & vinegar",422,"Foodstuffs",4,80817658,2016
"Food residues & wastes; animal fodder",423,"Foodstuffs",4,68096824,2016
"Tobacco & substitutes",424,"Foodstuffs",4,54825205.99999999,2016
"Salt, sulphur, cement, lime, stone, & plaster",525,"Mineral Products",5,108963793.00000001,2016
"Ores, slag and ash",526,"Mineral Products",5,14024599,2016
"Mineral fuels, mineral oils and products of their distillation",527,"Mineral Products",5,2349375164,2016
"Inorganic chemicals",628,"Chemical Products",6,142164512,2016
"Organic chemicals",629,"Chemical Products",6,170222133,2016
"Pharmaceutical products",630,"Chemical Products",6,613128657,2016
"Fertilizers",631,"Chemical Products",6,237688265,2016
