Reporting areas,  Total_cases,Total_death,Jan_case,Jan_death,Feb_case,Feb_death,Mar_case,Mar_death,April_case,April_death,May_case,May_death,June_case,June_death,July_case,July_death,Aug_case,Aug_death,Sep_case,Sep_death,Oct_case,Oct_death,Nov_case,Nov_death,Dec_case,Dec_death
Phangnga,64,0,3,0,4,0,7,0,13,0,13,0,7,0,3,0,3,0,5,0,2,0,4,0,0,0
Phuket,85,0,3,0,8,0,5,0,7,0,4,0,3,0,10,0,11,0,9,0,8,0,2,0,15,0
Zone:18,719,0,40,0,56,0,14,0,14,0,38,0,62,0,97,0,115,0,94,0,87,0,70,0,32,0
Narathiwat,382,0,16,0,28,0,8,0,12,0,15,0,24,0,52,0,67,0,57,0,56,0,30,0,17,0
Pattani,147,0,14,0,14,0,2,0,1,0,5,0,18,0,16,0,17,0,16,0,18,0,19,0,7,0
Yala,190,0,10,0,14,0,4,0,1,0,18,0,20,0,29,0,31,0,21,0,13,0,21,0,8,0
Zone:19,652,0,63,0,26,0,23,0,20,0,59,0,92,0,72,0,66,0,55,0,34,0,87,0,55,0
Satun,140,0,4,0,2,0,1,0,5,0,19,0,27,0,15,0,14,0,12,0,8,0,21,0,12,0
Songkhla,512,0,59,0,24,0,22,0,15,0,40,0,65,0,57,0,52,0,43,0,26,0,66,0,43,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
