Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
659--Floor Coverings,951,31099,19220,59240,14164,33380,33979,28981,14628,7195,1513,49728,5473,5840,7832
654--Woven Fabrics Of Textile Material; Not Cotton Or,35125,65952,9962,4402,37030,101785,23204,32060,4241,8093,0,6823,0,0,7707
813--Lighting Fixtures And Fittings,14299,28591,34940,76983,36139,34810,35170,20867,39181,26542,15709,25659,19906,14602,7493
269--Worn Clothing & Other Worn Textile Articles,0,0,0,0,0,0,0,0,0,0,329,0,0,3000,7493
516--Organic Chemicals,3409,9600,78102,96680,0,0,0,0,0,0,0,0,0,0,6080
742--Pumps For Liquids and Liquid Elevators,0,0,0,20142,290728,3231,7846,23179,99580,106320,29250,0,3000,21568,5200
048--Cereal Preparations,0,0,0,0,0,0,0,29072,29557,0,0,2590,6289,3296,5048
641--Paper And Paperboard,47374,0,142339,0,15243,0,0,0,0,0,0,0,0,0,4960
751--Office Machines,0,29742,0,0,38875,54750,202638,109074,92970,27532,29140,30880,6947,9000,4720
895--Office And Stationery Supplies,53373,0,0,2372,9123,41147,3162,4797,2650,12444,5380,0,6241,0,4643
541--Medicinal Products; Except Medicaments,3000,0,3693,5495,22953,0,2475,0,0,8000,20993,5586,80180,67640,4360
591--Insecticides; Disinfectants,1265357,0,0,0,18076,0,0,0,0,0,0,0,0,0,3000
763--Sound Recorders and TV Recorders,65550,1027207,2476,109740,0,27350,0,0,3000,0,0,2656,0,0,2701
642--Paper & Paperboard; Cut To Size Or Shape; Article,50585,0,25078,9855,49719,2600,0,0,5700,15340,8108,14262,4227,2520,2360
812--Sanitary; Plumbing & Heating Fixtures,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,2309
575--Plastics,0,0,300,27172,0,0,24114,0,66000,0,0,0,0,0,253
961--Coin (Other Than Gold Coin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950--Coin Including Gold,0,0,0,0,0,2961,0,0,0,0,0,0,0,0,0
891--Arms And Ammunition,0,0,0,0,0,0,0,63461,110077,338145,0,597800,0,0,0
883--Cinema Film; Including Sound Track,0,6840,0,0,0,0,0,0,2320,0,0,0,0,0,0
881--Photographic Apparatus And Equipment,17855,0,0,40807,0,0,13144,40000,0,10075,4795,0,0,0,0
873--Meters And Counters,0,0,0,0,0,0,0,0,0,10847,10356,0,0,56615,0
871--Optical Instruments And Apparatus,32381,0,68850,14536,0,0,163462,196878,11880,16250,18200,0,0,0,0
811--Prefabricated Buildings,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0
793--Ships; Boats And Floatng Structures,0,0,0,19663,0,2458,0,0,0,0,0,50000,14000,0,0
792--Aircraft & Associated Equipment,3800,4285,18670,0,0,5600,34225,2400,32864,138750,3300,353375,267520,16750,0
791--Railway Vehicles & Associated Equipment,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786--Trailers & Semi-Trailers,0,31536,34027,40853,0,0,0,0,0,0,0,0,0,0,0
785--Motorcycles And Cycles; Motorized & Not Motorized,14978,0,0,0,25900,0,0,0,0,0,0,0,6045,0,0
784--Parts And Accessories Of Motor Vehicles,7554,2312,31402,301543,3040479,958196,20945,61231,211769,254040,0,8925,56602,24471,0
782--Special Purpose Motor Vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781--All Motor Vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775--Household Type Electric & Nonelectric Equipment,29584,74835,154680,43100,4550,0,0,0,0,16800,2980,2175,192869,0,0
773--Equipment For Distributing Electricity,5720,0,0,17964,44194,17585,10075,0,0,18285,14926,0,151658,0,0
771--Electric Power Machinery; And Parts,17649,34321,60595,17141,24880,3580,0,11736,0,112119,2100,44000,0,9149,0
762--Radiobroadcast Receivers,0,0,0,0,0,0,9471,25881,0,0,0,3675,0,2713,0
761--Television Receivers,57750,27258,104875,8821,74741,161363,23331,0,107331,9699,193110,98631,2617,0,0
749--Nonelectric Parts & Accessories Of Machinery,26600,2127,0,0,56957,86000,86832,0,0,0,235225,0,0,0,0
748--Trasmission Shafts And Cranks,137701,4329,30429,22055,21616,0,13473,0,0,3206,7037,6470,22440,9104,0
745--Nonelectrical Machinery and Tools,11809,56613,47094,0,56431,34452,0,95549,0,0,177730,3000,0,5000,0
737--Metalworking Machinery,0,0,4804,0,0,0,0,0,0,0,0,3150,0,0,0
735--Parts & Access For Metal Work Machine Tools,0,0,0,3020,5830,18802,15884,0,0,0,18659,4087,0,0,0
733--Machine Tools For Working But Not Removing Metal,0,0,0,0,0,0,50800,0,0,0,0,0,0,0,0
731--Machine Tools Working By Removing Metal Or Other,0,0,0,0,0,0,0,240000,43900,0,0,0,0,0,0
727--Food-Processing Machines (Excluding Domestic),0,0,0,0,41832,0,0,0,0,3953,0,0,0,0,0
726--Printing & Bookbinding Machinery,2500,7331,0,8698,0,0,0,0,0,0,0,4500,0,13319,0
725--Paper Mill And Pulp Mill Machines,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0
724--Textile & Leather Machinery & Pts,55055,5472,0,6000,35623,0,0,0,0,0,2814,0,0,0,0
723--Civil Engineering & Contractors' Plant & Equipmen,78400,0,0,0,0,0,3061,0,350683,276261,386071,241646,5698,0,0
716--Rotating Electric Plant And Parts,109775,0,0,11530,0,3276,0,8565,0,0,0,0,0,23000,0
712--Steam Turbines & Other Vapor Turbines,0,0,0,0,0,0,0,0,0,0,2090,218650,0,0,0
711--Steam Or Other Vapor Generating Boilers,0,0,0,0,0,0,11971,0,0,0,0,0,0,0,0
696--Cutlery,0,14182,0,4905,0,7810,4275,0,0,0,0,4644,0,0,0
695--Tools For Use In The Hand Or In Machines,52172,42099,7249,31219,18196,8357,106056,85211,11770,0,4800,4086,0,20807,0
693--Wire Products & Fencng Grills,2384,0,0,0,0,0,0,0,5250,0,0,0,0,0,0
692--Metal Containers For Storage Or Transport,17826,0,0,0,151050,0,25380,0,44000,0,10000,0,0,0,0
689--Miscellaneous Nonferrous Base Metals,0,0,0,0,0,0,22074,0,0,0,0,0,0,0,0
687--Tin,72872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686--Zinc,0,0,0,0,0,0,8534,0,0,26200,22171,0,0,0,0
684--Aluminum,129802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682--Copper,0,0,164099,3200,38339,0,0,0,0,0,0,22455,0,8220,0
681--Silver; Platinum & Other Platinum Group Metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679--Iron & Steel Tubes; Pipes & Fittings,23329,0,0,13329,0,0,0,0,135440,0,0,0,0,12300,0
678--Iron And Steel Wire,22096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676--Iron & Steel Bars; Rods; Angles; Shapes & Section,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674--Iron & Natural Steel Flat-Rolled Products,209148,0,45026,0,0,0,0,0,0,0,0,0,0,0,0
671--Pig Iron and Iron & Steel Powder,0,0,0,0,0,0,2750,0,0,0,66000,0,0,0,0
664--Glass,5660,61000,6345,0,0,0,0,0,6716,0,0,0,2770,0,0
656--Tulles; Lace; Embroidery; Ribbons; Trimmings; Etc,0,24919,2464,19456,26121,203593,143786,85085,34328,0,39044,0,0,2286,0
655--Knitted Or Crocheted Fabrics,93395,40965,6392,44024,239252,159045,38744,12283,71209,14291,45915,14476,491,4260,0
653--Woven Fabrics; Manmade Textile Material,31282,5580,6275,6675,524628,134086,4244,5497,3216,3842,9468,17155,13966,0,0
651--Textile Yarn,226372,2489,0,0,0,0,500,6720,0,45036,0,0,0,0,0
634--Veneers; Plywood and Particle Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625--Rubber Tires and Accessories,26768,944,225295,0,24630,0,891,0,0,27349,892,13805,48591,0,0
621--Materials Of Rubber,6842,0,338,0,2460,0,0,0,62946,0,3101,3544,1038,0,0
613--Furskins; Tanned Or Dressed,6210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611--Leather,30549,21960,0,0,7713,21750,7025,0,27155,72339,127364,0,0,0,0
598--Miscellaneous Chemical Products,41863,118800,114730,204120,0,15190,160132,5000,73100,0,0,0,37360,0,0
583--Monofilaments Of Plastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581--Tubes; Pipes And Hoses Of Plastics,26889,0,4855,0,0,0,11947,4743,0,0,0,0,0,0,0
574--Polyacetals and Epoxide Resins,0,0,0,0,0,0,1920,0,1600,0,4800,0,0,0,0
573--Polymers Of Vinyl Chloride,0,0,0,0,0,0,0,0,0,0,0,0,0,5815,0
572--Polymers Of Styrene,0,0,0,0,0,29400,0,0,0,0,0,0,0,0,0
571--Polymers Of Ethylene,0,0,0,0,0,1841,17195,11457,0,0,0,0,0,0,0
554--Soap; Cleansing And Polishing Preparations,0,86089,3341,0,0,0,0,25036,0,0,0,0,0,0,0
542--Medicaments (Including Veterinary Medicaments),0,0,0,0,0,0,0,0,0,0,0,0,0,68600,0
533--Pigments; Paints; Varnishes And Related Materials,0,0,2724,0,0,0,16201,0,0,0,0,0,0,0,0
531--Synthetic Organic Coloring Matter,0,0,0,0,48770,0,0,0,219100,0,0,0,201200,0,0
525--Radioactive And Associated Materials,0,20559,0,0,0,0,0,0,10500,0,0,0,0,0,0
523--Metallic Salts And Peroxysalts Of Inorganic Acids,0,12179,0,0,6875,0,0,0,0,0,0,0,0,0,0
522--Inorganic Chemical Elements,0,0,0,0,0,0,74380,0,18000,6000,0,0,0,0,0
515--Organo-Inorganic & Heterocyclic Compounds,3000,0,0,241077,0,0,0,7560,0,0,0,0,0,0,0
513--Carboxylic Acids; Halides; & Derivatives,0,0,0,0,26000,7500,0,0,0,0,0,3500,0,0,0
512--Alcohols; Phenols & Halogenated Derivatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421--Fixed Vegetable Fats & Oils,0,0,0,0,0,5940,0,33711,0,13260,0,27900,0,0,0
344--Petroleum Gases & Other Gaseous Hydrocarbons,0,0,0,0,0,0,0,0,50416,0,29386,0,0,0,0
335--Residual Petroleum Products,0,75987,271308,0,0,0,0,0,0,0,0,0,0,0,0
334--Oil (Not Crude),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289--Ores & Concencentrate Of Precious Metal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288--Nonferrous Base Metal Waste & Scrap,0,0,0,0,0,0,13775,0,0,0,32243,26554,101878,0,0
277--Natural Abrasives (Inc Industrial Diamonds),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273--Stone; Sand And Gravel,0,0,0,3375,0,0,0,0,0,0,0,0,0,0,0
266--Synthetic Fibers Suitable For Spinning,17750,14944,0,0,0,0,0,2735,12305,203426,0,0,0,0,0
265--Vegetable Textile Fibers,1234,0,0,8653,0,0,0,0,0,0,0,0,0,0,0
264--Jute Textile Fibers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
