HS2,HS2 ID,Section,Section ID,Trade Value,Year
Misc. manufactures,2096,Miscellaneous,20,13519878,2014
Art & antiques,2197,Arts and Antiques,21,1882439,2014
Live animals,101,Animal Products,1,6468779,2015
Meat & edible offal,102,Animal Products,1,29741283,2015
"Fish, crustaceans, & molluscs",103,Animal Products,1,64133196,2015
"Edible products of animal origin, n.e.s.",104,Animal Products,1,6573121,2015
"Animal originated products, n.e.s.",105,Animal Products,1,4685467,2015
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Vegetable Products,2,553382320,2015
"Edible vegetables, roots, & tubers",207,Vegetable Products,2,213397683,2015
"Edible fruits, nuts & fruit peels",208,Vegetable Products,2,151991373,2015
"Coffee, tea, mate & spices",209,Vegetable Products,2,1553407899,2015
Cereals,210,Vegetable Products,2,39980205,2015
Products of the milling industry,211,Vegetable Products,2,3666178,2015
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Vegetable Products,2,33955955,2015
"Natural gums, resins & other vegetable extracts",213,Vegetable Products,2,6719647,2015
"Vegetable plaiting materials & products, n.e.s.",214,Vegetable Products,2,20930490,2015
"Animal or vegetable fats, oils, & waxes",315,Animal and Vegetable Bi-Products,3,82245616,2015
"Preparations of fish, crustacenas, & molluscs",416,Foodstuffs,4,16212689,2015
Sugars & confectioneries,417,Foodstuffs,4,55929160,2015
Cocoa & cocoa preparations,418,Foodstuffs,4,7381280,2015
"Preparations of cereals, flour, starch or milk",419,Foodstuffs,4,27732681,2015
"Preparations of vegetables, fruit, nuts or other plant parts",420,Foodstuffs,4,141142109,2015
Miscellaneous edible preparations,421,Foodstuffs,4,60136400,2015
"Beverages, spirits, & vinegar",422,Foodstuffs,4,87472013,2015
Food residues & wastes; animal fodder,423,Foodstuffs,4,11210153,2015
Tobacco & substitutes,424,Foodstuffs,4,175307431,2015
"Salt, sulphur, cement, lime, stone, & plaster",525,Mineral Products,5,163471974,2015
"Ores, slag and ash",526,Mineral Products,5,126343112,2015
