"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Fruits and Nuts",42008,"Foodstuffs",4,5304591,2012
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Fruit Juice",42009,"Foodstuffs",4,8333987,2012
"Miscellaneous edible preparations",421,"Coffee and Tea Extracts",42101,"Foodstuffs",4,3112025,2012
"Miscellaneous edible preparations",421,"Yeast",42102,"Foodstuffs",4,4540245,2012
"Miscellaneous edible preparations",421,"Sauces and Seasonings",42103,"Foodstuffs",4,5389099,2012
"Miscellaneous edible preparations",421,"Soups and Broths",42104,"Foodstuffs",4,1859248,2012
"Miscellaneous edible preparations",421,"Ice Cream",42105,"Foodstuffs",4,1083554,2012
"Miscellaneous edible preparations",421,"Other Edible Preparations",42106,"Foodstuffs",4,43877707,2012
"Beverages, spirits, & vinegar",422,"Water",42201,"Foodstuffs",4,1321669,2012
"Beverages, spirits, & vinegar",422,"Flavored Water",42202,"Foodstuffs",4,14654244,2012
"Beverages, spirits, & vinegar",422,"Beer",42203,"Foodstuffs",4,13559756,2012
"Beverages, spirits, & vinegar",422,"Wine",42204,"Foodstuffs",4,16658964,2012
"Beverages, spirits, & vinegar",422,"Vermouth",42205,"Foodstuffs",4,576899,2012
"Beverages, spirits, & vinegar",422,"Other Fermented Beverages",42206,"Foodstuffs",4,125301,2012
"Beverages, spirits, & vinegar",422,"Alcohol > 80% ABV",42207,"Foodstuffs",4,7805418,2012
"Beverages, spirits, & vinegar",422,"Hard Liquor",42208,"Foodstuffs",4,19918817,2012
"Beverages, spirits, & vinegar",422,"Vinegar",42209,"Foodstuffs",4,168322,2012
"Food residues & wastes; animal fodder",423,"Animal Meal and Pellets",42301,"Foodstuffs",4,476098,2012
"Food residues & wastes; animal fodder",423,"Bran",42302,"Foodstuffs",4,7858706,2012
"Food residues & wastes; animal fodder",423,"Starch Residue",42303,"Foodstuffs",4,167758,2012
"Food residues & wastes; animal fodder",423,"Soybean Meal",42304,"Foodstuffs",4,9765449,2012
"Food residues & wastes; animal fodder",423,"Ground Nut Meal",42305,"Foodstuffs",4,12636,2012
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues",42306,"Foodstuffs",4,45930244,2012
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues and Waste",42308,"Foodstuffs",4,17834,2012
"Food residues & wastes; animal fodder",423,"Animal Food",42309,"Foodstuffs",4,6182533,2012
"Tobacco & substitutes",424,"Raw Tobacco",42401,"Foodstuffs",4,27153316,2012
"Tobacco & substitutes",424,"Rolled Tobacco",42402,"Foodstuffs",4,14514719,2012
"Tobacco & substitutes",424,"Processed Tobacco",42403,"Foodstuffs",4,2327301,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Salt",52501,"Mineral Products",5,847549,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Sulphur",52503,"Mineral Products",5,429446,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Graphite",52504,"Mineral Products",5,95899,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Sand",52505,"Mineral Products",5,3554001.0000000005,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Quartz",52506,"Mineral Products",5,634615,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Kaolin",52507,"Mineral Products",5,819387,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Clays",52508,"Mineral Products",5,2784655,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Chalk",52509,"Mineral Products",5,85649,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Calcium Phosphates",52510,"Mineral Products",5,584999,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Barium Sulphate",52511,"Mineral Products",5,1044336,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Siliceous Fossil Meals",52512,"Mineral Products",5,201542,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Pumice",52513,"Mineral Products",5,47281,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Slate",52514,"Mineral Products",5,940,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Marble, Travertine and Alabaster",52515,"Mineral Products",5,1185822,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Granite",52516,"Mineral Products",5,1619520,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Gravel and Crushed Stone",52517,"Mineral Products",5,300746,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Dolomite",52518,"Mineral Products",5,8549,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Magnesium Carbonate",52519,"Mineral Products",5,221209,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Gypsum",52520,"Mineral Products",5,1138543,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Limestone",52521,"Mineral Products",5,28610,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Quicklime",52522,"Mineral Products",5,240001,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Cement",52523,"Mineral Products",5,97591404,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Mica",52525,"Mineral Products",5,101282,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Soapstone",52526,"Mineral Products",5,871407.0000000001,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Borax",52528,"Mineral Products",5,73937,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Feldspar",52529,"Mineral Products",5,8395,2012
